variant,seat_count,position,vpip_actions_performed,pfr_actions_performed,total_hands,vpip_percentage,pfr_percentage
10,6,p1,5,1,22,22.73,4.55
10,6,p2,9,6,22,40.91,27.27
10,6,p3,7,5,22,31.82,22.73
10,6,p4,11,9,20,55.0,45.0
10,6,p5,3,1,9,33.33,11.11
10,9,p1,7,1,34,20.59,2.94
10,9,p2,7,5,34,20.59,14.71
10,9,p3,12,6,34,35.29,17.65
10,9,p4,8,5,34,23.53,14.71
10,9,p5,12,2,33,36.36,6.06
10,9,p6,9,6,32,28.13,18.75
10,9,p7,7,4,26,26.92,15.38
10,9,p8,4,1,10,40.0,10.0
25,6,p1,1152035,378741,3250847,35.44,11.65
25,6,p2,603056,197107,3250847,18.55,6.06
25,6,p3,864465,442665,3196194,27.05,13.85
25,6,p4,884160,461504,3086012,28.65,14.95
25,6,p5,815637,427055,2723360,29.95,15.68
25,6,p6,487189,248022,1624025,30.0,15.27
25,9,p1,877167,231768,2686557,32.65,8.63
25,9,p2,388690,135425,2686557,14.47,5.04
25,9,p3,526900,192338,2655802,19.84,7.24
25,9,p4,528823,202092,2619981,20.18,7.71
25,9,p5,532401,212691,2578830,20.65,8.25
25,9,p6,539186,225900,2513539,21.45,8.99
25,9,p7,524726,228498,2342279,22.4,9.76
25,9,p8,423302,187657,1847700,22.91,10.16
25,9,p9,194443,86448,869206,22.37,9.95
50,6,p1,822516,441030,1555522,52.88,28.35
50,6,p2,402229,143269,1555522,25.86,9.21
50,6,p3,220641,116770,820376,26.9,14.23
50,6,p4,235130,126383,808315,29.09,15.64
50,6,p5,230738,124405,738531,31.24,16.84
50,6,p6,148112,77421,467382,31.69,16.56
50,9,p1,190639,49112,584929,32.59,8.4
50,9,p2,83201,27582,584929,14.22,4.72
50,9,p3,104063,39530,583508,17.83,6.77
50,9,p4,109568,43980,582044,18.82,7.56
50,9,p5,113896,47337,579821,19.64,8.16
50,9,p6,119790,52101,574324,20.86,9.07
50,9,p7,125190,56366,555405,22.54,10.15
50,9,p8,107644,48610,457733,23.52,10.62
50,9,p9,53884,24387,232500,23.18,10.49
100,6,p1,735171,420348,1854096,39.65,22.67
100,6,p2,402233,141890,1854096,21.69,7.65
100,6,p3,349134,225185,1440891,24.23,15.63
100,6,p4,367714,239820,1382831,26.59,17.34
100,6,p5,339736,218583,1186296,28.64,18.43
100,6,p6,195696,120744,667163,29.33,18.1
100,9,p1,120232,38359,393542,30.55,9.75
100,9,p2,57905,20022,393542,14.71,5.09
100,9,p3,62292,26163,392841,15.86,6.66
100,9,p4,65851,29820,392155,16.79,7.6
100,9,p5,69402,32879,391326,17.74,8.4
100,9,p6,74331,36286,389905,19.06,9.31
100,9,p7,80538,40907,386346,20.85,10.59
100,9,p8,70307,36135,319501,22.01,11.31
100,9,p9,38807,20871,180908,21.45,11.54
200,6,p1,1110815,694044,2695913,41.2,25.74
200,6,p2,630291,222916,2695913,23.38,8.27
200,6,p3,465163,317865,1971622,23.59,16.12
200,6,p4,499327,340373,1908739,26.16,17.83
200,6,p5,479439,320415,1671271,28.69,19.17
200,6,p6,293487,187488,986784,29.74,19.0
200,9,p1,151506,55414,534872,28.33,10.36
200,9,p2,85505,28710,534872,15.99,5.37
200,9,p3,80933,40822,534474,15.14,7.64
200,9,p4,85704,45214,534138,16.05,8.46
200,9,p5,90942,49526,533533,17.05,9.28
200,9,p6,98955,55481,532358,18.59,10.42
200,9,p7,110290,63120,528860,20.85,11.94
200,9,p8,96063,54316,433206,22.17,12.54
200,9,p9,49251,27903,223466,22.04,12.49
300,6,p1,2,0,16,12.5,0.0
300,6,p2,9,7,16,56.25,43.75
300,6,p3,7,2,16,43.75,12.5
300,6,p4,6,4,15,40.0,26.67
300,6,p5,3,3,7,42.86,42.86
400,6,p1,940342,578827,2649487,35.49,21.85
400,6,p2,583041,200173,2649487,22.01,7.56
400,6,p3,528368,392173,2235440,23.64,17.54
400,6,p4,559597,407076,2145161,26.09,18.98
400,6,p5,525882,369938,1848750,28.45,20.01
400,6,p6,313564,209637,1060291,29.57,19.77
400,9,p1,229516,99846,728795,31.49,13.7
400,9,p2,150866,48231,728795,20.7,6.62
400,9,p3,185884,124133,726534,25.59,17.09
400,9,p4,177139,114882,667821,26.52,17.2
400,9,p5,132779,83294,516706,25.7,16.12
400,9,p6,49983,30014,259060,19.29,11.59
400,9,p7,54343,32830,254358,21.36,12.91
400,9,p8,45246,26973,202106,22.39,13.35
400,9,p9,21619,12839,98966,21.84,12.97
500,6,p4,1,1,1,100.0,100.0
500,9,p2,1,0,1,100.0,0.0
500,9,p3,1,1,1,100.0,100.0
600,6,p1,497752,310515,1320534,37.69,23.51
600,6,p2,310543,104747,1320534,23.52,7.93
600,6,p3,260126,196217,1053635,24.69,18.62
600,6,p4,268482,196121,1000204,26.84,19.61
600,6,p5,248489,173302,852935,29.13,20.32
600,6,p6,147580,97344,488514,30.21,19.93
600,9,p1,93590,42472,313194,29.88,13.56
600,9,p2,65702,21772,313194,20.98,6.95
600,9,p3,75029,52484,311678,24.07,16.84
600,9,p4,71934,48645,288623,24.92,16.85
600,9,p5,56499,36988,234660,24.08,15.76
600,9,p6,27759,18124,143732,19.31,12.61
600,9,p7,29916,19459,138783,21.56,14.02
600,9,p8,24935,16055,108671,22.95,14.77
600,9,p9,11375,7077,50833,22.38,13.92
1000,6,p1,664580,458311,1736686,38.27,26.39
1000,6,p2,422097,147602,1736686,24.3,8.5
1000,6,p3,316192,262128,1333963,23.7,19.65
1000,6,p4,323346,255808,1257923,25.7,20.34
1000,6,p5,304822,228866,1073715,28.39,21.32
1000,6,p6,186937,131988,626053,29.86,21.08
1000,9,p1,91344,45105,316776,28.84,14.24
1000,9,p2,66863,22495,316776,21.11,7.1
1000,9,p3,72711,54736,313105,23.22,17.48
1000,9,p4,71167,51477,290003,24.54,17.75
1000,9,p5,57051,39564,235695,24.21,16.79
1000,9,p6,27720,18516,140335,19.75,13.19
1000,9,p7,28745,18745,132602,21.68,14.14
1000,9,p8,23747,15279,103014,23.05,14.83
1000,9,p9,11147,6769,49303,22.61,13.73
